t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3
1440,-269814.02,-950578.55,6752017.8,-7628.7391,39.829732,-303.24318,-6779801.9,132849.27,-961628.76,1067.1016,1050.2812,-7482.5418,1677877.8,923018.58,-6552497.5,7398.6089,-258.30774,1859.7524
1500,-726590.94,-946058.53,6718643.3,-7591.4629,110.78323,-808.83451,-6700668.8,195522.24,-1408089.2,1569.6374,1038.0402,-7393.9179,2117701.8,905462.82,-6426261,7256.7025,-326.66923,2346.5778
1560,-1180108.1,-937294.21,6655028.4,-7520.1178,181.25408,-1310.8875,-6591591.5,257321.47,-1848237.1,2064.867,1021.1688,-7272.2071,2548030.1,883847.1,-6271115.9,7082.2029,-393.58947,2823.014
1620,-1628329.6,-924323.95,6561452.3,-7415.0044,250.92964,-1807.1673,-6453075.4,317971.51,-2280104.1,2550.5647,999.74895,-7118.0005,2966929.2,858266.88,-6087749.8,6875.8607,-458.77024,3286.9305
1680,-2069242.1,-907204.76,6438328.1,-7276.5701,319.50023,-2295.4606,-6285757.9,377202.41,-2701761.9,3024.5555,973.88298,-6932.0372,3372514.3,828835.29,-5876976.3,6638.5675,-521.92017,3736.2465
1740,-2500863.4,-886012.13,6286200.5,-7105.4077,386.66041,-2773.5849,-6090405.2,434750.98,-3111330.9,3484.7256,943.69327,-6715.1993,3762958.8,795682.74,-5639732.7,6371.353,-582.75597,4168.9397
1800,-2921251.1,-860839.72,6105744.1,-6902.2545,452.1102,-3239.3977,-5867908.2,490361.95,-3506988.6,3929.0318,909.32142,-6468.5065,4136501.5,758956.34,-5377075.2,6075.3818,-641.00371,4583.0553
1860,-3328511.6,-831798.98,5897760.9,-6667.9895,515.55639,-3690.8049,-5619278,543789.09,-3886977.6,4355.5107,870.92738,-6193.1102,4491455.3,718819.33,-5090175.2,5751.9497,-696.40005,4976.7148
1920,-3720807.9,-799018.74,5663176.4,-6403.6311,576.71375,-4125.7703,-5345641,594796.33,-4249613.2,4762.2871,828.68854,-5890.2862,4826214.6,675450.41,-4780314.4,5402.4794,-748.69349,5348.1251
1980,-4096368.5,-762644.64,5403036.7,-6110.3341,635.30633,-4542.325,-5048233.3,643158.69,-4593291.2,5147.5818,782.79868,-5561.4281,5139262.8,629042.95,-4448879.2,5028.5149,-797.64561,5695.5872
2040,-4453494.9,-722838.59,5118503.6,-5789.3855,691.06874,-4938.5758,-4728394.5,688663.32,-4916493.9,5509.7185,733.467,-5208.0393,5429179.6,579804.25,-4097354.9,4631.7163,-843.03225,6017.5048
2100,-4790569.9,-679778.07,4810849.9,-5442.2005,743.74737,-5312.7146,-4387561.6,731110.35,-5217797.3,5847.1301,680.91692,-4831.7252,5694647.4,527954.58,-3727319.3,4213.8527,-884.64467,6312.3925
2160,-5106064.9,-633655.4,4481454.4,-5070.3169,793.10168,-5663.0273,-4027262.5,770313.71,-5495876.4,6158.3646,625.38502,-4434.1852,5934458,473726.23,-3340435.8,3776.795,-922.29071,6578.884
2220,-5398547,-584676.89,4131795.5,-4675.3898,838.90535,-5987.9023,-3649108.2,806101.88,-5749510.7,6442.0896,567.11987,-4017.204,6147518.2,417362.52,-2938446.1,3322.5082,-955.79577,6815.7392
2280,-5666686,-533062,3763445,-4259.1843,880.94753,-6285.8391,-3254786.2,838318.61,-5977589.2,6697.097,506.38083,-3582.6437,6332855.3,359116.69,-2523162.1,2853.0425,-985.00389,7021.852
2340,-5909260.8,-479042.32,3378061.3,-3823.5687,919.03391,-6555.4562,-2846052.6,866823.48,-6179114.9,6922.3062,443.43691,-3132.435,6489622.2,299250.74,-2096458.1,2370.5236,-1009.7786,7196.2558
2400,-6125165.3,-422860.59,2977381.8,-3370.5066,952.98782,-6795.4988,-2424724.5,891492.48,-6353208.2,7116.7679,378.56559,-2668.5688,6617100.9,238034.27,-1660262.1,1877.1433,-1030.0036,7338.13
2460,-6313413.6,-364769.6,2563215.4,-2902.0472,982.65124,-7004.846,-1992671.8,912218.49,-6499110.8,7279.6659,312.05163,-2193.088,6714707,175743.22,-1216546.6,1375.1486,-1045.5839,7446.8045
2520,-6473145.5,-305031.04,2137433.9,-2420.317,1007.8857,-7182.5172,-1551809.5,928911.64,-6616188.2,7410.3197,244.18595,-1708.079,6781992.2,112658.59,-767319.93,866.83031,-1056.4457,7521.764
2580,-6603630.1,-243914.28,1701963.7,-1927.5089,1028.573,-7327.6778,-1104089.3,941499.69,-6703932.2,7508.186,175.26443,-1215.6631,6818646.7,49065.148,-314616.48,354.51238,-1062.5375,7562.6511
2640,-6704269.9,-181695.18,1258776.6,-1425.8719,1044.6161,-7439.6444,-651491.15,949928.25,-6761962.6,7572.8598,105.58681,-717.98905,6824500.6,-14749.919,139512.71,-159.46047,-1063.8303,7569.2689
2700,-6774604,-118654.76,809880.88,-917.69996,1055.9396,-7517.8888,-196015.36,954161.03,-6790029,7604.0755,35.455552,-217.22422,6799525.4,-78498.353,593009.6,-672.73447,-1060.3172,7541.5821
2760,-6814309.8,-55077.895,357311.84,-405.32043,1062.4903,-7562.0415,260326.13,954179.92,-6788011.3,7601.7072,-34.825301,284.45311,6743833.5,-141892.17,1043818.9,-1182.9589,-1052.0144,7479.7169
